menuID,menuName,menuDisplayName,menuDescription,categoryID,categoryName,categoryDisplayName,categoryDescription,dishID,dishName,dishPrice,dishType,dishDescription,displayName,printName,tags
,Menu,,,,Fries,,,,Handcut Agria,11.40,standard,These Are Our Famous Hand Cut Chips & Can Be Cooked Separately In Our Gluten Free Fryer If Necessary,,,"Thumb up outline
,Menu,,,,Fries,,,,Crinkle Cut,10.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,"Thumb up outline
,Menu,,,,Fries,,,,Kumara (Sweet Potato),14.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,"Thumb up outline
,Menu,,,,Fries,,,,Beer Battered Chips,11.40,standard,Not gluten free,,,"Thumb up outline
,Menu,,,,Fries,,,,"Chips, Cheese & Gravy",15.40,standard,Beer Battered Chips Coated In Stringy Mozzarella And Steaming Hot Gravy,,
,Menu,,,,Featured items,,,,Tarakihi,23.60,standard,No. 1 most liked,,,"Thumb up outline
,Menu,,,,Featured items,,,,Crinkle Cut,10.60,standard,No. 2 most liked,,,"Thumb up outline
,Menu,,,,Featured items,,,,"Chips, Cheese & Gravy",15.40,standard,No. 3 most liked,,
,Menu,,,,Featured items,,,,Handcut Agria,11.40,standard,Plus small,,,"Thumb up outline
,Menu,,,,Featured items,,,,Hoki,19.00,standard,Plus small,,,
,Menu,,,,Featured items,,,,Craft Beer Battered Sausage,7.15,standard,Plus small,,,
,Menu,,,,Featured items,,,,Chicken Tenders,12.20,standard,Plus small,,,"Thumb up outline
,Menu,,,,Featured items,,,,Southern Style Chicken Burger,30.90,standard,Plus small,,,"Thumb up outline
,Menu,,,,Featured items,,,,Cheesy Garlic Bread,13.00,standard,Plus small,,,"Thumb up outline
,Menu,,,,Featured items,,,,Beer Battered Chips,11.40,standard,Plus small,,,"Thumb up outline
,Menu,,,,Featured items,,,,C.F.C Snackbox,20.30,standard,Plus small,,,
,Menu,,,,Featured items,,,,Kumara (Sweet Potato),14.60,standard,Plus small,,,"Thumb up outline
,Menu,,,,Featured items,,,,Kid Chicken Tenders,16.30,standard,Plus small,,,
,Menu,,,,Featured items,,,,Panko Crumbed Calamari,12.20,standard,Plus small,,,
,Menu,,,,Featured items,,,,Kid Fish Fingers,16.30,standard,Plus small,,,
,Menu,,,,Sauces,,,,Homemade Tartare,3.30,standard,Homemade Tartare Sauce,,,
,Menu,,,,Sauces,,,,Watties Tomato Sauce,3.30,standard,Watties Tomato Sauce,,,
,Menu,,,,Sauces,,,,Homemade Aioli,3.30,standard,"Homemade Aioli Sauce
Popular",,,Popular,https://tb-static.uber.com/prod/image-proc/processed_images/65a635c9d1e03f44a75e20ba9dc810d2/c67fc65e9b4e16a553eb7574fba090f1.jpeg
,Menu,,,,Sides,,,,Potato Fritter,4.10,standard,Potato Fritter Side,,,
,Menu,,,,Sides,,,,Jalapeno Popper,8.00,standard,Jalapeno Popper Side,,,
,Menu,,,,Sides,,,,Craft Beer Battered Pickled Mussels,12.20,standard,Craft Beer Battered Pickled Mussels Side,,,
,Menu,,,,Sides,,,,Cheesy Garlic Bread,13.00,standard,"Ciabatta Bun, Garlic Butter Mozzarella Cheese",,
,Menu,,,,Sides,,,,Craft Beer Battered Onion Rings,8.10,standard,Craft Beer Battered Onion Rings,,,
,Menu,,,,Sides,,,,Fresh Pineapple Fritter,7.30,standard,Fresh Pineapple Fritter Side,,,
,Menu,,,,Sides,,,,Panko Crumbed Calamari,12.20,standard,Panko Crumbed Calamari SIde,,,
,Menu,,,,Sides,,,,Chicken Tenders,12.20,standard,Panko Crumbed Free-Range Chicken Strips,,,
,Menu,,,,Sides,,,,Craft Beer Battered Sausage,7.15,standard,Craft Beer Battered Sausage,,,
,Menu,,,,Sides,,,,Handcut Agria,11.40,standard,These Are Our Famous Hand Cut Chips & Can Be Cooked Separately In Our Gluten Free Fryer If Necessary,,,
,Menu,,,,Sides,,,,Crinkle Cut,10.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,
,Menu,,,,Sides,,,,Kumara (Sweet Potato),14.60,standard,These Can Be Cooked Separately in Our Gluten Free Fryer if Necessary Just Ask,,,
,Menu,,,,Sides,,,,Beer Battered Chips,11.40,standard,Not gluten free,,,
,Menu,,,,Sides,,,,Kid Chicken Tenders,16.30,standard,Free-Range Waitoa Chicken Nuggets With Curly Fries & Tomato Sauce,,,
,Menu,,,,Sides,,,,Kid Fish Fingers,16.30,standard,Panko Crumbed Fish Bites With Curly Fries & Tomato Sauce,,,
,Menu,,,,Today'S Market Fish,,,,Hoki,19.00,standard,Hoki Fish,,,
,Menu,,,,Today'S Market Fish,,,,Snapper,26.80,standard,Snapper Fish Serving,,,
,Menu,,,,Today'S Market Fish,,,,Tarakihi,23.60,standard,Tarakihi Fish Serving,,,
,Menu,,,,Burgers,,,,Southern Style Chicken Burger,30.90,standard,"Free-Range Chicken Breast, Chipotle Mayo, Guacamole, Crispy Lettuce
,Menu,,,,Burgers,,,,Halloumi Burger,30.90,standard,"Grilled Zany Zeus Halloumi, Beetroot Hummus, Rocket & Harissa Relish",
,Menu,,,,Burgers,,,,Sticky Pork Belly Burger,30.90,standard,"Pickled Red Cabbage, Ginger, Coriander & Crispy Shallot Salad With Confit Garlic Aioli",
,Menu,,,,Burgers,,,,August special - Drunk Chick Burger,30.90,standard,Beer Battered chicken - 7 island sauce - house pickles- lettuce. Comes With a combo of Crisp fried Agria chips loaded with hot cheesy sauce. The Perfect meal for One.,,,
,Menu,,,,Burgers,,,,Panko Crumbed Fish Burger,30.90,standard,"Cucumber, Capsicum, Spring Onion, Sesame Seeds
,Menu,,,,Burgers,,,,Vegan Quinoa Burger,30.90,standard,"Quinoa, Vegetable And Chickpea Pattie, Guacamole, Lettuce
,Menu,,,,Specials,,,,Chippery Fried Chicken,16.30,standard,4 Chippery Fried Chicken & 1 Hot Sauce,,,
,Menu,,,,Specials,,,,C.F.C Snackbox,20.30,standard,"3 Chicken, Half Beer Battered Chips & 1 Hot Sauce",,
,Menu,,,,Specials,,,,"Chips, Cheese & Gravy",15.40,standard,Beer Battered Chips Coated In Stringy Mozzarella And Steaming Hot Gravy,,
,Menu,,,,Specials,,,,Donuts,9.80,standard,2 Fresh Donuts Coated In Cinnamon Sugar & Topped With Chocolate Sauce,,,
,Menu,,,,Kids Special,,,,Kid Chicken Tenders,16.30,standard,Free-Range Waitoa Chicken Nuggets With Curly Fries & Tomato Sauce,,,Popular
,Menu,,,,Kids Special,,,,Kid Fish Fingers,16.30,standard,Panko Crumbed Fish Bites With Curly Fries & Tomato Sauce,,,
,Menu,,,,Kids Special,,,,Kids Cheese Burger,16.30,standard,"Handmade NZ Beef Pattie, Cheese & Tomato Sauce",,
,Menu,,,,Fresh House Salads,,,,Coleslaw,9.80,standard,"Seasonal Favorites â€“ Radishes, Fennel, Celery, Carrot
,Menu,,,,Drinks,,,,Coke (Glass),8.10,standard,Soft Drink - 330ml glass,,,Popular
,Menu,,,,Drinks,,,,Fanta (Glass),8.10,standard,Soft Drink - Bottle,,,
,Menu,,,,Drinks,,,,L&P (Glass),8.10,standard,Soft Drink - Bottle,,,
,Menu,,,,Drinks,,,,Diet Coke,8.10,standard,Diet Coke 1.25 L Bottle,,,
,Menu,,,,Drinks,,,,Fuze Lemon Ice Tea,8.10,standard,Fuze Lemon Ice Tea Drink,,,
,Menu,,,,Drinks,,,,Fuze Peach Ice Tea,8.10,standard,Fuze Peach Ice Tea Drink,,,
,Menu,,,,Drinks,,,,Most Sparkling Apple & Black Currant,8.10,standard,Most Sparkling Apple & Black Currant Drink,,,
,Menu,,,,Drinks,,,,Most Sparkling Apple & Guava,8.10,standard,Most Sparkling Apple & Guava Drink 330ml,,,
,Menu,,,,Drinks,,,,Pump Water,8.10,standard,Pump Water Drink,,,
