"menuID","menuName","menuDisplayName","menuDescription","categoryID","categoryName","categoryDisplayName","categoryDescription","dishID","dishName","dishPrice","dishType","dishDescription","displayName","printName","tags","isCDNImage","imageCDNID","imageCDNFilename","imageExternalURL"
"4be2e25c","Menu","","","d921b036","Short Bites","","","55e2ff1b","Jhol Momo",24,"standard","Five pieces. Halal. Indo Nepalese chicken dumplings served with Timur and peanut achar.","",,"Dairy Free","TRUE","78b71d0b-c501-4209-b44d-8189c1675d7b","small-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","d921b036","Short Bites","","","fa2a350c","Kurkure Aloo Ke Chaat",18,"standard","Nut free. Made with potatoes tossed in coriander, tamarind and coriander chutney.","",,"Gluten Free~Vegan","TRUE","9860e849-f347-42bd-ae03-edd7db266834","small-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","d921b036","Short Bites","","","67890766","Amritsari Macchi",22,"standard","Halal. Nut free. Crispy fillets of fish coated with carom spiced chickpeas. Served with coriander chutney and onions.","",,"Dairy Free~Gluten Free","TRUE","6d72c821-30c6-4ae5-8976-2f911a9427c8","small-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","d921b036","Short Bites","","","57cb0dbc","Gol Gappe",18,"standard","Halal. Nut free. Semolina and seven pieces of white flour shells served with coriander, mint water and fillings. Served cold.","",,"Vegan","TRUE","0efdccd8-bd37-42ae-952a-56891a196d64","small-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","d921b036","Short Bites","","","45dc53a3","Charred Cabbage Poriyal",17,"standard","Halal. Marinated charred cabbage, cooked with mustard seeds, green chillies and grated coconut over spiced yoghurt.","",,"Gluten Free~Vegan","TRUE","6496e265-5839-4ee9-b5e9-1a58e06ccb94","small-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","d921b036","Short Bites","","","fbf831f4","Dahi Puri",19,"standard","Halal. Nut free. Six pieces of crispy semolina shells filled with chutneys, crispy chickpeas and chickpea noodles. Served cold.","",,"Vegetarian","TRUE","4ae587a1-8c69-4938-8862-bc6cee0c32a7","small-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","d921b036","Short Bites","","","ljSEfQXaU","Spinach and Cheese Springroll",4,"standard","Inspired by Mumbai’s Soam, spiced spinach, cashew and cheese spring roll, served with green chilli and ginger dip","",,"Vegetarian","FALSE","","",""
"4be2e25c","Menu","","","d921b036","Short Bites","","","bGEUlOs1L","Vada Pav",12.5,"standard","Hands-on Mumbai’s iconic potato fritter in a bun, layered with spicy chutneys, chura and fried green chilli","",,"Vegan","FALSE","","",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","ea97e866","Keema Pav",30,"standard","Halal. Spice braised lambs mince with peas served with red onions and four pieces of buttery buns.  Popular","",,"Dairy Free","TRUE","b0b391fc-e371-4171-b050-8bde19e8f4d8","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","b23e26e5","Daal Kedgree",20,"standard","Halal. A risotto'ish creamed spiced lentil and rice dish cooked with peas, mushrooms and chilli oil.  Halal, Nut Free, and Spicy","",,"Vegetarian","TRUE","233f4620-d64b-43d8-974c-ce6e0d73e6a3","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","9c173b2e","Chicken Tikka",29,"standard","Halal. Aged spice marinated chicken with onions, chaat masala and coriander chutney.  Halal and Nut Free","",,"Gluten Free","TRUE","bd504b1f-123d-4e41-b06b-f4a52f26cfec","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","3fbeefa5","Rajma Chawal",18,"standard","Halal. Nut free. Delhi's con carne red kidney bean stew served over rice with onions and coriander.  Halal","",,"Gluten Free~Vegan","TRUE","436fb2e0-c5ac-457e-96d5-6354c02e75ee","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","7def1fc7","Kashmiri Kanti",30,"standard","Halal. Pan tossed lamb with tomatoes, onions, Kashmiri chillies and coriander. Served with kulcha.  Dairy Free, Halal, Nut Free, and Spicy","",,"Dairy Free","TRUE","4dadca83-cbb1-4b5b-9122-9b5e7d8d7751","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","4a58db46","Ghee Roast Chicken",33,"standard","Halal. Nut Free. A Mangalorean ghee roasted chicken thighs cooked with a fenugreek and byadgi chilli emulsion.  Halal, Nut Free, and Spicy","",,"Gluten Free","TRUE","cb768a7c-e038-44b0-b59c-5ac62c5a52ff","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","49a1eab9","Beef Pepperfry",41,"standard","200g. Halal. Nut free. Spice marinated medium rare sirlion served with curry leaf and black pepper masala.  Dairy Free, Halal, and Nut Free","",,"Dairy Free~Gluten Free","TRUE","a8eb9779-fda3-4dfb-b9f2-9edc58e8aeb7","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","86bdf78f","Aloo Tikki Chaat",22,"standard","Halal. Nut free. Skillet potato served, stuffed with crunchy lentils and coriander. Served with yoghurt, tamarind and mint chutneys. (Hot and Cold).  Popular","",,"Gluten Free~Vegetarian","TRUE","b2d918d2-ff4c-4709-bde2-02f3291eea64","medium-bites-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","30507e04","Chole Bhature",20,"standard","Halal. Made with Delhi's staple, spice braised whole chickpeas garnished, ginger and onions. Served with a bhatura and achar.  Halal and Nut Free","",,"Vegetarian","FALSE","","",""
"4be2e25c","Menu","","","8f932b67","Medium Bites","","","846bc3a9","Meen Moilee",36,"standard","Nut free. Lightly battered fish cooked in a coconut broth with curry leaves and turmeric. Served with mushrooms and chilli oil.  Dairy Free, Nut Free, and Spicy","",,"Dairy Free~Gluten Free","FALSE","","",""
"4be2e25c","Menu","","","9bf562f6","Flatbreads","","","793a0f51","Spiced Chicken",13.5,"standard","Halal. Made with roast chicken, onion, dried mango and curry leaves.","",,"","TRUE","81372d33-bc01-4384-afeb-9b43bb570cf9","flatbreads-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","9bf562f6","Flatbreads","","","bbad25f3","Banaras Lamb",16,"standard","Halal. Braised lambs mince, red onion, fenugreek, green peas and coriander.","",,"","TRUE","9e749bef-27d5-470e-9283-175944389a54","flatbreads-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","9bf562f6","Flatbreads","","","f2fb5e1c","Achari Paneer",13.5,"standard","Made with pickled paneer, red onions, dry mango and chaat masala.","",,"Vegetarian","TRUE","181ad1ba-5b16-4ee6-8db7-032a37aa326f","flatbreads-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","7d4368e1","Fries","","","b3a8ede7","Fries",14,"standard","Halal. Kala masala dusted twice cooked potatoes with achar mayonnaise.  Dairy Free, Halal, and Nut Free","",,"","TRUE","bf4e6c11-3473-436d-9768-c96b723c9b8f","fries-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","e127023c","Dessert","","","90febff0","Kesar Kulfi",15,"standard","Halal. Indian ice cream reduced saffron milk with ground almonds. Halal","",,"Gluten Free~Vegetarian","TRUE","fa0adc4a-ccee-471b-bf84-c46fdbaadd73","dessert-bc9c318a9c96996e2d990faf2b0c65f6.jpeg",""
"4be2e25c","Menu","","","e127023c","Dessert","","","dd0a6250","Serra Durra",15,"standard","Nut free. Goan Portuguese reduced condensed milk mousse with biscuit saw dust and berry coulis. Popular","",,"Vegetarian","FALSE","","",""
"4be2e25c","Menu","","","557d6dd0","Street Drinks","","","f0654e72","Chai and Biscuit",6.5,"standard","Strong black tea served with a crunchy biscuit.","",,"","FALSE","","",""
"4be2e25c","Menu","","","557d6dd0","Street Drinks","","","ec9834ad","Badam Milk",13,"standard","Almond-flavoured milk drink.","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","814ea3bf","Thums Up Cola, India",9,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","c5f801b0","Limca Lemonade, India",9,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","9690203d","Phoenix, New Zealand",8,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","00692475","Non Alcoholics","","","a76a8f50","Juices",8,"standard","","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","2b501fca","Masala Grape Lemonade",16,"standard","Made with roasted cumin, pepper, mint and tonic.","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","dd8ecba0","Tropical Punch",14.5,"standard","Made with Peach tea, Mango and Apple","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","8157c2ec","Virgin Bloody Rupa",14.5,"standard","Made with coriander, tomato juice, Tabasco, lemon and chaat masala.","",,"","FALSE","","",""
"4be2e25c","Menu","","","b3759b6d","Mocktails","","","81ecfa2c","Nimbu Pani",14.5,"standard","Made with roasted cumin, black salt, lemon and soda.","",,"","FALSE","","",""